MS COCO Image ID,Question ID,Soru,Yapay Zeka Cevabi,Gercek Cevaplar,Durum
262148,262148000,Where is he looking?,down,down; down; at table; skateboard; down; table; down; down; down; down,Dogru
262148,262148001,What are the people in the background doing?,watching,spectating; watching; watching; watching; watching; watching; watching; watching; watching; watching,Dogru
262148,262148002,What is he on top of?,picnic table,table; table; table; picnic table; picnic table; picnic table; picnic table; picnic table; skateboard; picnic table,Dogru
393225,393225000,What website copyrighted the picture?,foodiebakercom,foodiebakercom; foodiebakercom; foodiebaker; foodiebakercom; foodiebakercom; http://foodiebakercom; foodiebakercom; foodiebakercom; foodiebakercom; foodiebaker,Dogru
393225,393225001,Is this a creamy soup?,no,no; no; no; no; no; no; no; no; no; no,Dogru
393225,393225002,Is this rice noodle soup?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
393225,393225003,What is to the right of the soup?,chopsticks,chopsticks; chopsticks; chopsticks; chopsticks; chopsticks; shrimp; chopsticks; chopsticks; chopsticks; chopsticks spoon,Dogru
393226,393226000,What is the man doing in the street?,crossing street,crossing it; walking; walking; crossing; crossing road; walking; crossing; walking; crossing; walking,Yanlis
393226,393226001,How many photo's can you see?,1,1; 1; 4; 4; 4; 1; 1; 4; 1; 1,Dogru
393226,393226002,What does the truck on the left sell?,ice cream,ice cream; ice cream; ice cream; ice cream; ice cream; ice cream; ice cream; ice cream; ice cream; ice cream,Dogru
240301,240301000,Why is there a gap between the roof and wall?,ventilation,ventilation; provide air; to air out barn from stinky bovines; keep cow safe; airflow; to let sunlight in; yes; yes; for air; air,Dogru
240301,240301001,Is it daylight in this picture?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
240301,240301002,Why is the cow laying down?,tired,tired; tired; 4; resting; tired; tired; resting; tired; it's tired; tired,Dogru
131089,131089000,What color is the grass in this picture?,green,"gray; green; green; black, white; green; gray; green; brown; gray; green",Dogru
131089,131089001,Did the batter hit the ball?,yes,no; no; no; yes; yes; yes; yes; yes; no; yes,Dogru
131089,131089002,How many are playing ball?,1,1; 1; 1; 1; 1; 1; 1; 1; 1; boy,Dogru
131089,131089003,Is there a chain link fence in the image?,no,no; no; no; no; no; no; no; no; no; no,Dogru
131089,131089004,Is the boy playing baseball?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
262162,262162000,Is that a folding chair?,no,no; no; no; no; no; no; no; no; no; no,Dogru
262162,262162001,How many beds?,1,1; 1; 1; 1; 1; 1; 10; 1; 1; 1,Dogru
262162,262162002,What color is the bedspread?,white,beige; white; pink; white; white; white; yellow; yellow; beige; yellow,Dogru
262162,262162003,How many pictures are there?,8,7; 7; 7; 7; 7; 7; 7; 7; 7; 7,Yanlis
262162,262162004,Are these twin mattresses?,no,"no; no; no; no, it is queen; no; no; yes; no; no; no",Dogru
262162,262162005,How many sources of light are there?,1,1; 1; 1; 1; 2; 1; 1; 1; 1; 2,Dogru
262162,262162006,Is this room decorated for the 1970s?,no,no; no; no; no; no; no; yes; no; no; no,Dogru
262162,262162007,Are the lights on in this room?,no,no; no; no; no; no; no; no; no; no; no,Dogru
262162,262162008,Are the windows big?,yes,yes; yes; yes; yes; no; yes; yes; yes; yes; yes,Dogru
262162,262162009,What is the chair made of?,leather,"leather; leather; plastic; plastic, vinyl, metal; leather; leather; leather; leather; leather; leather",Dogru
262162,262162010,Is this room in someone's home?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
262162,262162011,Which room is this?,bedroom,bedroom; bedroom; bedroom; bedroom; bedroom; bedroom; bedroom; bedroom; bedroom; bedroom,Dogru
262162,262162012,Is the bed white?,yes,yes; yes; no; yes; no; no; yes; yes; yes; yes,Dogru
262162,262162013,Could this be a hotel room?,no,no; no; no; no; no; no; yes; no; no; no,Dogru
262162,262162014,Is the bed made?,yes,"yes; yes; no; yes; yes; yes; yes, just one; yes; yes; no",Dogru
262162,262162015,Are there bed headboards present in the photo?,no,no; no; no; no; no; no; no; no; no; no,Dogru
262162,262162016,Is there a mirror in the room?,no,no; no; no; no; no; no; no; no; no; no,Dogru
262162,262162017,What kind of room is this?,bedroom,bedroom; bedroom; bedroom; bedroom; bedroom; bedroom; bedroom; bedroom; bedroom; bedroom,Dogru
262162,262162018,How many chairs are in the photo?,1,1; 1; 1; 1; 1; 1; 1; 1; 1; 1,Dogru
262162,262162019,Is the desk cluttered?,no,no; no; no; no; no; no; no; no; no; no,Dogru
262162,262162020,Has the bed been made?,yes,yes; yes; no; no; yes; yes; yes; no; no; yes,Dogru
262162,262162021,How many seats are there?,1,1; 1; 1; 1; 1; 1; 1; 1; 1; 1,Dogru
262162,262162022,How many frames are on the wall?,8,7; 7; 7; 7; 7; 7; 7; 7; 7; 7,Yanlis
262162,262162023,What color are the walls?,white,white; off white; off white; white; white; beige; white; white; white; white,Dogru
262162,262162024,Are there any boxes in the room?,no,no; no; no; no; no; no; no; no; no; no,Dogru
262162,262162025,Could this be a multi-purpose room?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
262162,262162026,What animal print does that chair resemble?,none,panther; none; leather; dog; cat; none; none; none; none; dog,Dogru
262162,262162027,What is behind the foot of the bed?,chair,chair; chair; chair; wall; chair; chair; chair; chair; chair; chair,Dogru
262162,262162028,What is the size of the bed?,queen,queen; queen; queen; queen sized; full; queen; queen; double; king; queen,Dogru
262162,262162029,How many pictures on the wall?,8,7; 7; 7; 7; 7; 7; 7; 7; 6; 7,Yanlis
393243,393243000,Will this kid leave the powdered sugar on his face?,yes,yes; no; yes; no; yes; yes; no; yes; yes; yes,Dogru
393243,393243001,What is the child eating?,donut,donut; donut; donut; doughnut; donut; donut; donut; donut hole; donut; donut,Dogru
393243,393243002,Is this person wearing a tie?,no,no; no; no; no; no; no; no; no; no; no,Dogru
393243,393243003,What color is the kids hair?,blonde,blonde; blonde; blonde; blonde; blonde; blonde; blonde; blonde; blonde; blonde,Dogru
262175,262175000,Is the man's tie purple?,no,no; no; no; no; no; no; no; no; no; no,Dogru
262175,262175001,Where was the picture taken of the man?,forest,in forest; in jungle; park; forest; forest; outside; forest; not sure; outside; hawaii,Dogru
262175,262175002,What is the man wearing on his head?,hat,plant life; hat; hat; hat; silly hat; palm leaves; leaf-hat; hat; hat; crown,Dogru
262175,262175003,Is this a designer tie?,no,no; no; no; no; no; no; no; no; no; no,Dogru
131108,131108000,Is this photo color?,no,no; no; no; no; no; no; no; no; no; no,Dogru
131108,131108001,Does the door open inward or outward?,outward,inward; outward; inward; outward; outward; not sure; outward; out; inward; inward,Dogru
131108,131108002,Is there a drainage in the pic?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
393254,393254000,What does the sentence on the top say?,this is camping,this is camping; this is camping; this is camping; this is camping; this is camping; this is camping; this is camping; this is camping; this is camping; this is camping,Dogru
393254,393254001,What kind of vehicle is the RV pulling on the bottom picture?,rv,jeep; bus; jeep; brown; suv; suv; car; jeep; jeep; jeep,Yanlis
393254,393254002,Where is the camping tent?,in woods,forest; in wood; woods; woods; in woods; top picture; top picture; top picture; campground; woods,Dogru
42,42000,What color are the gym shoes?,white,white; white; white; white; white and black; white; white; white; white; white,Dogru
42,42001,Is there a red sandal here?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
42,42002,What color is the flip flop?,red,black; red; red; red; red and blue; red; red; red; red; red,Dogru
131115,131115000,Are there players in the dugout?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
131115,131115001,Is the battery looking at the ball?,yes,no; no; yes; no; no; no; no; no; yes; yes,Dogru
131115,131115002,How many people are on the field?,3,3; 3; 3; 3; 3; 3; 3; 3; 3; 3,Dogru
262189,262189000,How many signs?,5,4; 4; 4; 4; 4; 4; 4; 4; 4; 4,Yanlis
262189,262189001,What color is the Salisbury Rd. sign?,blue,"white with blue lettering; white and blue; white; blue and white; white, brown; white; white; not sure; white; white and blue",Yanlis
262189,262189002,What does the last sign say?,ross st,ross st; ross st; ross st; ross st; ross st; ross street; ross; ross st; ross st; camperdown ross st,Dogru
393266,393266000,What color is the sign?,red and yellow,"red and yellow; red; red; orange, yellow, white, black; red and yellow; red/yellow; red orange; red and orange; red and yellow; red",Dogru
393266,393266001,Can you turn right or left in the tunnel?,yes,no; no; no; no; no; no; right; no; no; no,Yanlis
393266,393266002,What color is the plant?,green,"green; white; green; green; green; green; green; red, orange; green; green",Dogru
393267,393267000,What color is the woman's shirt on the left?,black,black; black; black; black; black; black; black; blonde; black; black,Dogru
393267,393267001,What type of beverage is being displayed?,wine,wine; wine; wine; wine; wine; wine; wine; wine; wine; wine,Dogru
393267,393267002,Why are some people wearing hats?,no hats,they aren't; fashion; no hats; none are wearing hats; none are; style; nobody's wearing hats; nobody is wearing hats; to keep warm; they are not,Dogru
393267,393267003,What kind of event are the people involved in?,wine tasting,wine tasting; wedding; wine; taste testing; alcohol show; wine; wine sale; wine tasting; wine tasting; wine tasting,Dogru
262197,262197000,How many skyscrapers are there?,2,2; 2; 2; 0; 2; 2; 2; 0; 0; 0,Dogru
262197,262197001,What is the color of the building in the background?,brown,gray; brown; brown; brown; brown; brown; brown; brown; brown; brown,Dogru
262197,262197002,Is there a tree in front of the building?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
262197,262197003,Is there a person riding a bike?,no,no; no; no; no; no; no; no; no; no; no,Dogru
262197,262197004,Are there lights on in the two buildings?,no,yes; yes; 2; yes; no; yes; no; yes; yes; yes,Dogru
262197,262197005,How many stories is the building on the left?,5,3; 3; 4; 3; 5; 5; many; 3; 6; 3,Dogru
262197,262197006,Is this a hospital?,no,no; no; yes; yes; yes; no; yes; yes; no; maybe,Dogru
262197,262197007,How many umbrellas do you see?,0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0,Dogru
262197,262197008,How many colors is the building on the right painted?,1,1; 2; 1; brown; 2; 1; 1; 2; 2; 1,Dogru
262197,262197009,What is on the boy's back walking?,backpack,backpack; backpack; backpack; backpack; backpack; backpack; backpack; backpack; backpack; backpack,Dogru
262197,262197010,How many modes of transportation are depicted?,1,0; 2; 1; 1; 0; 1; 0; 0; 1; 0,Dogru
262197,262197011,What color is the building?,brown,brown; brown; brown; brown; gray; brown; brown; brown; brown; brown,Dogru
393271,393271000,Is it still snowing in the picture?,yes,yes; yes; yes; no; yes; no; yes; no; no; no,Dogru
393271,393271001,Does this appear to be a photo of multiple exposures of the black clad snowboarder?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
393271,393271002,How many people can you see in the picture?,8,8; 8; 8; 8; 8; 8; 8; 6; 8; 6,Dogru
262200,262200000,Is this an adult party?,no,no; no; no; no; no; no; no; no; no; no,Dogru
